State,Country,Latitude,Longtitude,Confirmed,Deaths,Recovered,Active,Fatality Ratio
Texas,US,31.36868194,-102.0423217,23,2,0,21,8.695652174
Texas,US,29.35739637,-99.76229172,748,30,0,718,4.010695187
Texas,US,29.89149232,-101.1525205,2124,98,0,2026,4.61393597
Texas,US,32.56483801,-95.83766469,565,18,0,547,3.185840708
Texas,US,28.79780988,-96.96813006,3984,93,0,3891,2.334337349
Texas,US,30.73872995,-95.57440968,3587,53,0,3534,1.477557848
Texas,US,30.01058447,-95.99011759,812,11,0,801,1.354679803
Texas,US,31.50999644,-103.0927909,120,1,0,119,0.833333333
Texas,US,30.21498498,-96.40946246,624,48,0,576,7.692307692
Texas,US,27.7610369,-99.33237355,13053,281,0,12772,2.152761817
Texas,US,29.27765923,-96.22319248,1314,50,0,1264,3.805175038
Texas,US,35.40114335,-100.2699514,46,0,0,46,0
Texas,US,33.98842886,-98.7041034,1599,19,0,1580,1.188242652
Texas,US,34.07945812,-99.24178437,131,2,0,129,1.526717557
Texas,US,26.47411727,-97.61535848,1195,48,0,1147,4.016736402
Texas,US,30.64655664,-97.6004854,8385,139,0,8246,1.657722123
Texas,US,29.1732598,-98.08693082,572,26,0,546,4.545454545
Texas,US,31.85008651,-103.0485163,110,1,0,109,0.909090909
Texas,US,33.21570665,-97.65460265,712,13,0,699,1.825842697
Texas,US,32.78722382,-95.38236368,491,21,0,470,4.276985743
Texas,US,33.17320212,-102.8276433,198,4,0,194,2.02020202
Texas,US,33.17659707,-98.68790885,266,6,0,260,2.255639098
Texas,US,27.00156391,-99.16987152,325,6,0,319,1.846153846
Texas,US,28.86617238,-99.76050829,289,16,0,273,5.53633218
Utah,US,41.52106798,-113.0832816,3013,11,0,3002,0.365084633
Utah,US,39.37231946,-111.5758676,580,3,0,577,0.517241379
Utah,US,40.99001837,-112.1139997,4588,28,0,4560,0.610287707
Utah,US,40.66616532,-111.9216011,27454,244,0,27210,0.888759379
Utah,US,37.62762978,-109.8033714,684,29,0,655,4.239766082
Utah,US,38.99617072,-110.7013958,168,1,0,167,0.595238095
